timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725871842987,621,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-1,text,true,,7341,856,2,2,https://blazedemo.com/reserve.php,600,0,186
1725871843465,504,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-2,text,true,,7341,856,2,2,https://blazedemo.com/reserve.php,504,0,105
1725871843970,543,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-3,text,true,,7341,856,4,4,https://blazedemo.com/reserve.php,523,0,100
1725871844463,510,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-4,text,true,,7341,856,5,5,https://blazedemo.com/reserve.php,492,0,107
1725871844962,540,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-5,text,true,,7341,856,6,6,https://blazedemo.com/reserve.php,516,0,114
1725871845479,539,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-6,text,true,,7341,856,7,7,https://blazedemo.com/reserve.php,507,0,113
1725871845977,532,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-7,text,true,,7345,856,8,8,https://blazedemo.com/reserve.php,522,0,113
1725871846424,416,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-1,text,true,,6719,901,8,8,https://blazedemo.com/purchase.php,404,0,0
1725871846461,544,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-8,text,true,,7341,856,9,9,https://blazedemo.com/reserve.php,516,0,111
1725871846785,433,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-2,text,true,,6715,901,9,9,https://blazedemo.com/purchase.php,423,0,0
1725871846977,498,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-9,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,481,0,99
1725871847328,429,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-3,text,true,,6719,901,10,10,https://blazedemo.com/purchase.php,399,0,0
1725871847460,524,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-10,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,508,0,110
1725871847788,395,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-4,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,382,0,0
1725871848318,436,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-5,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,410,0,0
1725871848835,410,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-6,text,true,,6719,901,10,10,https://blazedemo.com/purchase.php,394,0,0
1725871849325,419,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-7,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,406,0,0
1725871849820,433,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-8,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,404,0,0
1725871850290,433,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-9,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,419,0,0
1725871850801,437,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-10,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,411,0,0
1725871887666,429,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-1,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,419,0,0
1725871842964,1466,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,19840,2775,10,10,null,1423,43666,186
1725871888045,409,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-2,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,401,0,0
1725871843463,1346,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,19836,2775,10,10,null,1328,43646,105
1725871888097,427,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-1,text,true,,7345,856,10,10,https://blazedemo.com/reserve.php,403,0,0
1725871888455,399,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-2,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,389,0,0
1725871888583,404,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-3,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,396,0,0
1725871843970,1376,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,,true,,19840,2775,10,10,null,1318,43643,100
1725871888988,404,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-3,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,382,0,0
1725871889009,411,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-4,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,401,0,0
1725871844461,1316,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,19836,2775,10,10,null,1275,43644,107
1725871889420,430,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-4,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,406,0,0
1725871889580,405,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-5,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,396,0,0
1725871844961,1381,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,,true,,19836,2775,10,10,null,1322,43644,114
1725871889986,475,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-5,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,444,0,0
1725871890071,402,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-6,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,392,0,0
1725871845461,1351,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,19840,2775,10,10,null,1293,43661,113
1725871890474,394,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-6,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,377,0,0
1725871890570,397,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-7,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,391,0,0
1725871845960,1348,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,19840,2775,10,10,null,1319,43660,113
1725871890968,412,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-7,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,402,0,0
1725871891079,418,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-8,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,406,0,0
1725871846460,1395,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,19836,2775,10,10,null,1326,43643,111
1725871891340,424,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-1,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,412,0,0
1725871891498,426,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-8,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,396,0,0
1725871891550,420,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-9,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,420,0,0
1725871846958,1351,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,19836,2775,10,10,null,1320,43661,99
1725871891670,393,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-2,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,390,0,0
1725871891970,416,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-9,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,401,0,0
1725871892066,399,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-10,text,true,,5780,1020,10,10,https://blazedemo.com/confirmation.php,390,0,0
1725871847459,1360,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,19836,2777,10,10,null,1309,43646,110
1725871892208,422,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-3,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,396,0,0
1725871892466,423,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-10,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,392,0,0
1725871892665,420,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-4,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,391,0,0
1725871893279,429,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-5,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,399,0,0
1725871893686,425,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-6,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,398,0,0
1725871894197,396,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-7,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,386,0,0
1725871894740,450,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-8,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,421,0,0
1725871895203,410,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-9,text,true,,6719,901,10,10,https://blazedemo.com/purchase.php,397,0,0
1725871895705,428,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-10,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,403,0,0
1725871932590,533,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-1,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,522,0,102
1725871888096,1384,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,19840,2775,10,10,null,1337,43643,102
1725871932890,504,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-2,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,504,0,102
1725871888454,1296,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,19836,2775,10,10,null,1283,43645,102
1725871933125,402,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-1,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,387,0,0
1725871933396,467,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-2,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,441,0,0
1725871933456,525,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-3,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,516,0,113
1725871888988,1351,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,,true,,19836,2775,10,10,null,1294,43642,113
1725871933982,446,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-3,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,411,0,0
1725871933911,561,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-4,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,555,0,121
1725871889420,1411,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,19836,2775,10,10,null,1352,43641,121
1725871934472,423,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-4,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,390,0,0
1725871934533,524,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-5,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,516,0,120
1725871889986,1428,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,,true,,19836,2775,10,10,null,1359,43643,120
1725871934937,513,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-6,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,504,0,111
1725871890473,1332,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,19836,2775,10,10,null,1279,43645,111
1725871935058,441,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-5,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,413,0,0
1725871935451,460,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-6,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,433,0,0
1725871935421,542,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-7,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,534,0,117
1725871890968,1350,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,19836,2775,10,10,null,1322,43645,117
1725871935964,442,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-7,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,410,0,0
1725871936016,530,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-8,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,521,0,97
1725871891498,1406,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,19836,2775,10,10,null,1338,43642,97
1725871936342,417,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-1,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,394,0,0
1725871936440,479,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-9,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,475,0,98
1725871891970,1305,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,19840,2775,10,10,null,1273,43645,98
1725871936546,444,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-8,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,417,0,0
1725871936680,417,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-2,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,391,0,0
1725871936920,446,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-9,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,423,0,0
1725871936960,532,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-10,text,true,,5780,1020,10,10,https://blazedemo.com/confirmation.php,522,0,102
1725871892465,1383,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,19836,2777,10,10,null,1317,43644,102
1725871937244,458,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-3,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,446,0,0
1725871937493,408,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-10,text,true,,7341,856,10,10,https://blazedemo.com/reserve.php,397,0,0
1725871937711,429,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-4,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,407,0,0
1725871938316,436,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-5,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,408,0,0
1725871938726,422,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-6,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,395,0,0
1725871939222,408,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-7,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,398,0,0
1725871939806,420,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-8,text,true,,6719,901,10,10,https://blazedemo.com/purchase.php,407,0,0
1725871940182,428,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-9,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,414,0,0
1725871940717,435,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-10,text,true,,6715,901,10,10,https://blazedemo.com/purchase.php,424,0,0
1725871977586,416,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-1,text,true,,5780,1018,10,10,https://blazedemo.com/confirmation.php,405,0,0
1725871933123,1235,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,19836,2775,10,10,null,1186,43644,0
1725871977941,397,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-2,text,true,,5780,1018,9,9,https://blazedemo.com/confirmation.php,387,0,0
1725871933395,1281,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,19836,2775,9,9,null,1219,43663,0
1725871978528,423,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-3,text,true,,5780,1018,8,8,https://blazedemo.com/confirmation.php,412,0,0
1725871933981,1327,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,,true,,19836,2775,8,8,null,1269,43643,0
1725871978965,407,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-4,text,true,,5780,1018,7,7,https://blazedemo.com/confirmation.php,400,0,0
1725871934472,1259,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,19836,2775,7,7,null,1197,43641,0
1725871979579,413,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-5,text,true,,5780,1018,6,6,https://blazedemo.com/confirmation.php,404,0,0
1725871935057,1290,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,,true,,19836,2775,6,6,null,1225,43645,0
1725871979974,417,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-6,text,true,,5780,1018,5,5,https://blazedemo.com/confirmation.php,408,0,0
1725871935451,1299,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,19836,2775,5,5,null,1236,43642,0
1725871980457,414,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-7,text,true,,5784,1018,4,4,https://blazedemo.com/confirmation.php,404,0,0
1725871935963,1264,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,19840,2775,4,4,null,1212,43645,0
1725871981051,439,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-8,text,true,,5784,1018,3,3,https://blazedemo.com/confirmation.php,428,0,0
1725871936546,1303,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,19844,2775,3,3,null,1252,43641,0
1725871981436,383,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-9,text,true,,5780,1018,2,2,https://blazedemo.com/confirmation.php,381,0,0
1725871936920,1257,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,19836,2775,2,2,null,1218,43643,0
1725871981977,437,https://blazedemo.com/confirmation.php,200,OK,Thread Group 1-10,text,true,,5780,1020,1,1,https://blazedemo.com/confirmation.php,430,0,0
1725871937492,1280,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,19836,2777,1,1,null,1251,43642,0
